"レイヤ名","事務所","告示年月日","告示番号","市町村名","現象","箇所名","箇所番号","経度","緯度","分類"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","笠神8","Ⅱ-1448","140.201028631214","35.8147810682961","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","笠神9","Ⅱ-1449","140.202388496195","35.8146413543404","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根1","Ⅱ-1450","140.201988985908","35.8134032834507","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根1","Ⅱ-1450","140.202147151122","35.8138222914749","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根2","Ⅱ-1451","140.196907857504","35.8091095062744","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根3","Ⅱ-1452","140.195157866833","35.8085534624386","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根4","Ⅱ-1453","140.197151251653","35.8072232581093","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根5","Ⅱ-1454","140.196152481553","35.8069842247567","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根6","Ⅱ-1455","140.200667655502","35.8069926631903","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根7","Ⅱ-1456","140.201335997351","35.8071625284634","土砂災害警戒区域"
