"レイヤ名","事務所","告示年月日","告示番号","市町村名","現象","箇所名","箇所番号","経度","緯度","分類"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田3","Ⅱ-7049","140.240035282786","35.781318899404","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田3","Ⅱ-7049","140.240585557059","35.7808870153603","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田3","Ⅱ-7049","140.241235132714","35.7805788341656","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田4","Ⅱ-7050","140.240739126019","35.7820034674724","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田5","Ⅱ-7051","140.241645287105","35.7825571484351","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","平賀8","Ⅱ-7055","140.252402901084","35.7677600214759","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","平賀9","Ⅱ-7056","140.253025507767","35.7695818950412","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","鎌苅3","Ⅱ-1347","140.199945912967","35.7705863927709","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根14","Ⅰ-1293","140.199544957347","35.802457773836","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根14","Ⅰ-1293","140.199973525206","35.8024186962816","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","萩原7","Ⅱ-1258","140.208619069351","35.797276840587","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","萩原14","Ⅱ-1271","140.219551411169","35.7960007360003","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","松虫11","Ⅱ-1272","140.220095276257","35.7954563208098","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","松虫11","Ⅱ-1272","140.219624013957","35.7949954484297","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","吉高8","Ⅱ-1280","140.232034319294","35.7927844665822","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","吉高8","Ⅱ-1280","140.232170072061","35.791955710874","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","吉高8","Ⅱ-1280","140.232418679385","35.7922763217414","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","吉高10","Ⅱ-1282","140.233072797068","35.7902365773501","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","瀬戸4","Ⅱ-1300","140.207716777142","35.7753071276707","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","吉高24","Ⅱ-1311","140.23354781655","35.7851076710949","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","吉田5","Ⅱ-1325","140.152542994835","35.7638995148846","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","師戸5","Ⅱ-1337","140.187936647841","35.759247673833","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","師戸6","Ⅱ-1338","140.188489606545","35.7603616634819","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","師戸7","Ⅱ-1339","140.18884604747","35.7625330063514","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","鎌苅2","Ⅱ-1346","140.199073784916","35.7695353020258","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","笠神8","Ⅱ-1448","140.201013660528","35.8147827460938","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","笠神9","Ⅱ-1449","140.202443306083","35.8146387864031","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根1","Ⅱ-1450","140.20202889818","35.8133775916083","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根1","Ⅱ-1450","140.202184317838","35.8138104795754","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根2","Ⅱ-1451","140.196866851394","35.8090845787585","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根3","Ⅱ-1452","140.19521244333","35.8085131532723","土砂災害特別警戒区域"
